;Ynew;Y
0;736.5519642682378;0.0
1;729.5199911757056;1012.0
2;722.5285924450415;989.0
3;715.5900141133192;951.0
4;708.7106924136624;1004.0
5;701.8914134047943;632.0
6;695.1276312236774;893.0
7;688.4131535507223;710.0
8;681.7382571440348;710.0
9;675.0908120814183;629.0
10;668.4567924793738;608.0
11;661.8210244635993;629.0
12;655.1673568597907;609.0
13;648.4782391795699;528.0
14;641.7348080747042;548.0
15;634.9176134422655;569.0
16;628.0064060532569;569.0
17;620.9796128901097;610.0
18;613.8138423430063;142.0
19;606.4846495747367;578.0
20;598.9724778199409;522.0
21;591.2600671691988;522.0
22;583.3335898597525;661.0
23;575.1867218520853;639.0
24;566.829308327782;661.0
25;558.3188170880683;683.0
26;549.8466779819523;683.0
27;541.9328348447484;661.0
28;533.4135746366475;683.0
29;525.1292604004736;661.0
30;516.9773784497936;551.0
31;508.84557050661897;551.0
32;500.63599390470125;519.0
33;492.29390327048526;539.0
34;483.7775198469793;435.0
35;475.07974271597067;295.0
36;466.21736853733483;652.0
37;457.2179844933401;458.0
38;448.11325765231385;539.0
39;438.93835201350254;522.0
40;429.72338483804003;485.0
41;420.49728608424624;469.0
42;411.260485702248;485.0
43;401.9733981464646;439.0
44;392.59617595768594;220.0
45;383.16333345349364;52.0
46;373.7896604720316;200.0
47;364.5888513174675;207.0
48;355.68778746552096;200.0
49;347.2126853504719;388.0
50;339.26918498544535;388.0
51;331.94818366750116;375.0
52;325.31791610252964;374.0
53;319.4234607759385;225.0
54;314.2904068899277;210.0
55;309.9317432053424;233.0
56;306.35097796724966;210.0
57;303.51707177031903;233.0
58;301.34728534707403;300.0
59;299.71606347115534;388.0
60;298.4818941670607;375.0
61;297.52408773351436;388.0
62;296.7499282631233;288.0
63;296.06799147444383;375.0
64;295.3655867387311;388.0
65;294.56373242294137;275.0
66;293.598868975713;315.0
67;292.42208685158386;181.0
68;291.00559540244217;0.0
69;289.3473318801037;0.0
70;287.48562963035397;339.0
71;285.5057564621561;350.0
72;283.51007815442637;365.0
73;281.57440058544466;377.259
74;279.72387623040333;377.259
75;277.9475990640422;365.089
76;276.18863702236615;404.206
77;274.34825145642935;391.167
78;272.3203076432043;404.206
79;270.0102483992128;404.206
80;267.350982402953;378.128
81;264.32097450893485;431.153
82;260.9345787014883;226.008
83;255.86396637253466;0.0
84;250.65839164752276;0.0
85;245.50809167025636;0.0
86;240.45071691630926;186.98
87;235.4794237614843;191.592
88;230.57944749654172;197.978
89;225.73811229811315;191.592
90;220.94617647529392;329.964
91;216.19661884625512;329.964
92;211.48209001536117;298.032
93;206.79465529809107;329.964
94;202.1261979102867;319.32
95;197.46815770739403;329.964
96;192.81155453178712;311.337
97;188.146932116868;178.731
98;183.46486393500294;98.014
99;178.7575345319462;133.05
100;174.01952095233725;164.982
101;169.24711108023905;58.542
102;164.43786433811093;68.743
103;159.59151951048457;57.744
104;154.70995859951302;37.254
105;149.79715600897006;46.568
106;144.85924752139383;106.44
107;139.90408281394468;192.479
108;134.93990309937385;255.456
109;129.9735439754679;263.971
